시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
중구,1114052000,소공동,1114016600200900000,1114016600100900000022434,126.975510103913,37.563403234147295
중구,1114055000,명동,1114012400200210001,1114012400100210001000001,126.982156500678,37.561586555079
동대문구,1123071000,회기동,1123010800203460018,1123010800103460018000124,127.056016389771,37.590844453232
용산구,1117063000,이촌1동,1117012900203020060,1117012900103020060000001,126.96905272236299,37.5210700185566
서초구,1165051000,서초1동,1165010800216230001,1165010800116230001023965,127.015152866623,37.4874306484335
서초구,1165058100,반포4동,1165010700200520006,1165010700100520006016627,127.011539185408,37.5016551524635
서초구,1165051000,서초1동,1165010800216570005,1165010800116570005024412,127.014217033954,37.492387659064704
영등포구,1156054000,여의동,1156011000200340011,1156011000100340011031679,126.929088635937,37.5223993583573
강남구,1168065000,역삼2동,1168010100207080006,1168010100107080006022683,127.048515927976,37.5039411013992
강남구,1168053100,논현2동,1168010800200930002,1168010800100930002005085,127.03795294353701,37.5223902189029
영등포구,1156053500,영등포동,1156010500204420000,1156010500104420000000001,126.903914224263,37.517212666105706
종로구,1111061500,종로1.2.3.4가동,1111015500200590007,1111015500100710011017947,126.99164569051099,37.5696872619054
종로구,1111061500,종로1.2.3.4가동,1111013500200120015,1111013500100120015017523,126.98598268804301,37.5690710988316
강북구,1130563000,수유3동,1130510300201740013,1130510300101740013009354,127.02732798436001,37.64003343807929
강남구,1168056500,청담동,1168010400200060005,1168010400100060005000001,127.046850137088,37.523759873683204
강남구,1168051000,신사동,1168010700205830003,1168010700105830003010397,127.02789685336398,37.5240469060232
강동구,1174061000,천호2동,1174010900204550004,1174010900104550004011971,127.12519757952101,37.538963301202
종로구,1111056000,평창동,1111018300203100001,1111018300103100001023026,126.966763285432,37.60579292442
서초구,1165052000,서초2동,1165010800213270029,1165010800113270029027313,127.027403494967,37.494938817542
송파구,1171057000,오금동,1171011200200170008,1171011200100170008013962,127.12663853234301,37.5085452424071
송파구,1171056100,방이1동,1171011100201810000,1171011100101810001017216,127.122996982138,37.5133299197545
광진구,1121587000,구의3동,1121510300205890010,1121510300105890010009923,127.09257856655898,37.5358608133798
종로구,1111061500,종로1.2.3.4가동,1111012200202460000,1111012200102490000000001,126.978892919429,37.5709832679583
용산구,1117053000,남영동,1117010700200450000,1117010700100360017000001,126.972909348137,37.551667085451896
중구,1114052000,소공동,1114016600200750000,1114016600100750000022795,126.974644933829,37.5629361919446
중구,1114055000,명동,1114012700200020016,1114012700100020017020487,126.98573772021099,37.5637618569889
서초구,1165065100,양재1동,1165010200200140004,1165010200100140004005066,127.03685006085699,37.482320316786705
강남구,1168054500,압구정동,1168010700206390007,1168010700106390007027539,127.036420025086,37.5281084112342
서대문구,1141058500,신촌동,1141011600200330009,1141011600100330009022198,126.936695631183,37.5587170195711
중구,1114052000,소공동,1114016600200570009,1114016600100570009022504,126.972166856166,37.562878601942
서초구,1165053100,서초4동,1165010800213070019,1165010800113070028020229,127.025481611828,37.5001130565393
영등포구,1156054000,여의동,1156011000200450021,1156011000100450021037678,126.927827696628,37.518810771131896
서초구,1165060000,방배1동,1165010100209080010,1165010100109080010015123,126.99763090593399,37.4819850802876
성동구,1120067000,성수2가1동,1120011500203330016,1120011500103330133000001,127.05347904535299,37.5399239940305
영등포구,1156054000,여의동,1156011000200230009,1156011000100230009037290,126.92448295062799,37.524069489011104
금천구,1154551000,가산동,1154510100200600005,1154510100100600005000001,126.887266473346,37.4796276001816
종로구,1111061500,종로1.2.3.4가동,1111013500200140005,1111013500100140005014831,126.986427620709,37.569651586387
