,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
136,방화1동,1.0,939878.3333,1952064.5559999999,-0.594569015,-1.575221767,-1.702916481,-1.340676879,-1.496200886,-1.7775059880000001,-1.973975215,-2.02783087,-2.0319918059999997,4016.6941,-0.34651200299999996,0.623418088,0.376581912,0.0,1
214,수유3동,1.0,958102.6316,1960183.211,-0.5065824839999999,0.19449518300000002,0.5459004479999999,1.065933676,0.466284651,0.625975683,1.18458217,1.301095568,1.549013472,22043.60642,-0.564993514,0.517297122,0.48270287799999995,0.0,1
394,홍제1동,1.0,950612.0,1954227.0,0.093288187,-0.20092827600000002,-0.23294480899999997,-0.5618252029999999,-0.6254235370000001,-0.43639662100000004,-0.28155815300000003,-0.217817874,0.147719384,13361.48612,-0.28408871399999996,0.6914243109999999,0.308575689,0.0,1
249,신정4동,1.0,942921.4286,1947170.429,-0.725007773,-0.135168643,-0.24658499399999997,-0.6015654189999999,-0.594905528,-0.462213547,-0.345281479,-0.162956365,-0.31342903899999996,12975.015140000001,-0.518176048,0.675117427,0.324882573,0.0,1
230,신대방1?0,947616.0714,1943499.0,-0.11744911699999999,-0.322991548,-0.286305342,0.218914969,0.283557879,0.21245619100000002,0.423615474,0.543579502,0.10860329199999999,17180.28621,0.204893718,0.498271959,0.501728041,1.0,,1
48,남가좌1?1,948481.5789,1952512.158,-0.48805328200000003,0.270247603,-0.7461515890000001,-0.87733743,-0.865563612,-0.853405148,-1.053285198,-0.933020693,-0.6530510660000001,10361.49311,0.5794334520000001,0.5689537179999999,0.431046282,0.0,,1
46,길음2동,1.0,958442.8571,1956379.3569999998,-0.247448398,-0.015920948,-0.013070836,-0.434939445,-0.23117177100000003,-0.040709927,0.016309961,0.013606507,-0.08420997300000001,14850.41275,0.667866445,0.545141262,0.454858738,0.0,1
28,광장동,1.0,964911.3861,1949598.01,-0.078522562,0.22154089899999999,0.878680175,-0.374298358,-0.312425023,0.6656453370000001,0.23249602100000002,-0.201656558,0.049251913,16331.848890000001,-2.676981462,0.6239412879999999,0.376058712,0.0,1
68,대조동,1.0,948986.9565,1956996.826,-0.7619498240000001,0.780116156,0.669147735,0.25969096399999997,0.329354602,0.496107411,0.868155735,0.9913285629999999,1.450975884,20394.31033,-0.086414965,0.594934609,0.405065391,0.0,1
65,대림2동,0.0,947090.0,1943499.0,-0.935527153,-0.625750557,-0.556211242,0.46792315700000003,0.560400782,0.28822007899999996,0.498889252,0.61957784,0.217093535,17823.11,1.286897395,0.324156481,0.6758435190000001,1.0,1
