X.1,id,X,Y,구,동,예측,대여,반납
8484,151073,946950,1946549,영등포구,문래동,78.97052101,37.35978616,41.61073485
8485,151076,946950,1946399,영등포구,문래동,83.38317848,41.00211086,42.38106762
8486,151079,946950,1946249,영등포구,문래동,87.06900775,44.5346693,42.53433845
8487,151706,947000,1946549,영등포구,문래동,104.6223946,50.42755827,54.19483634
8488,151707,947000,1946499,영등포구,문래동,102.7652155,49.46853154,53.29668393
8489,151708,947000,1946449,영등포구,문래동,75.90441366,34.46769891,41.43671474
8490,151709,947000,1946399,영등포구,문래동,67.40749704,33.83875071,33.56874632
8491,151710,947000,1946349,영등포구,문래동,89.45435061,42.52877784,46.92557277
8492,151711,947000,1946299,영등포구,문래동,84.84136633,41.10037039,43.74099593
8493,152338,947050,1946599,영등포구,문래동,104.6964962,53.15566927,51.54082697
8494,152339,947050,1946549,영등포구,문래동,101.7744437,51.65127492,50.12316877
8495,152340,947050,1946499,영등포구,문래동,99.66923942,47.31670179,52.35253763
8496,152341,947050,1946449,영등포구,문래동,93.57005677,45.57196636,47.99809041
8497,152343,947050,1946349,영등포구,문래동,60.81969202,30.4356628,30.38402921
8498,152344,947050,1946299,영등포구,문래동,60.0062529,31.25357922,28.75267369
8499,152345,947050,1946249,영등포구,문래동,57.68894104,29.14464543,28.54429561
8500,152976,947100,1946349,영등포구,문래동,59.81625909,31.11350568,28.70275341
8501,152977,947100,1946299,영등포구,문래동,58.2242623,30.60214796,27.62211433
8502,153609,947150,1946349,영등포구,문래동,82.98151354,40.88710051,42.09441303
8503,153610,947150,1946299,영등포구,문래동,48.7961087,25.80347757,22.99263113
8504,154242,947200,1946349,영등포구,문래동,79.46091601,41.10283761,38.3580784
8505,146006,946550,1946699,영등포구,문래동,122.4804959,59.61517361,62.86532225
8506,147271,946650,1946749,영등포구,문래동,112.9702515,61.2606084,51.70964307
8507,147274,946650,1946599,영등포구,문래동,87.89146612,44.38171191,43.50975421
8508,147904,946700,1946749,영등포구,문래동,95.43931273,46.78231026,48.65700247
8509,147907,946700,1946599,영등포구,문래동,92.00772307,44.56727046,47.44045261
8510,148537,946750,1946749,영등포구,문래동,93.44974045,47.8120345,45.63770595
8511,148540,946750,1946599,영등포구,문래동,86.93538654,44.31371375,42.62167279
8512,149170,946800,1946749,영등포구,문래동,84.44902022,48.13924912,36.3097711
8513,149171,946800,1946699,영등포구,문래동,79.6711435,41.60017952,38.07096398
8514,149172,946800,1946649,영등포구,문래동,84.2171875,43.45651912,40.76066838
8515,149173,946800,1946599,영등포구,문래동,82.61350223,43.00624791,39.60725433
8516,147902,946700,1946849,영등포구,문래동,112.4958813,61.68538483,50.81049644
8517,147903,946700,1946799,영등포구,문래동,98.20017585,52.88531281,45.31486304
8518,148536,946750,1946799,영등포구,문래동,95.16134363,49.28510959,45.87623404
8519,149169,946800,1946799,영등포구,문래동,83.96295666,46.29155525,37.67140142
8520,145376,946500,1946549,영등포구,문래동,104.554223,49.31266483,55.24155821
8521,146011,946550,1946449,영등포구,문래동,102.0520246,45.38728507,56.66473949
8522,148543,946750,1946449,영등포구,문래동,89.21216975,44.21444843,44.99772132
8523,149177,946800,1946399,영등포구,문래동,93.09236288,44.2044848,48.88787808
8524,149174,946800,1946549,영등포구,문래동,85.15591494,43.93894887,41.21696607
8525,149807,946850,1946549,영등포구,문래동,73.47377218,36.11536881,37.35840337
8526,150440,946900,1946549,영등포구,문래동,73.21494932,36.98699972,36.2279496
8527,147910,946700,1946449,영등포구,문래동,95.63539381,44.7204514,50.91494241
8528,149176,946800,1946449,영등포구,문래동,91.91689842,46.60664809,45.31025033
8529,147278,946650,1946399,영등포구,문래동,96.4889242,42.22654968,54.26237452
8530,145375,946500,1946599,영등포구,문래동,101.6340923,47.96048153,53.67361073
8531,146008,946550,1946599,영등포구,문래동,132.5101909,59.64271286,72.86747806
8532,146641,946600,1946599,영등포구,문래동,101.6511098,53.01563543,48.63547437
8533,146642,946600,1946549,영등포구,문래동,97.9877985,47.82808607,50.15971242
8534,141591,946200,1945899,영등포구,문래동,93.63642455,49.52878666,44.10763788
8535,141592,946200,1945849,영등포구,문래동,122.1596207,58.74738832,63.4122324
8536,142218,946250,1946199,영등포구,문래동,62.35170113,31.82940246,30.52229867
8537,142224,946250,1945899,영등포구,문래동,76.12040631,40.1928554,35.92755091
8538,142850,946300,1946249,영등포구,문래동,66.92994721,31.57220499,35.35774222
8539,142851,946300,1946199,영등포구,문래동,65.64485584,31.71250313,33.93235271
8540,142852,946300,1946149,영등포구,문래동,63.52306135,31.14157138,32.38148997
8541,142856,946300,1945949,영등포구,문래동,70.19384738,34.60268958,35.5911578
8542,143482,946350,1946299,영등포구,문래동,60.65205357,30.07464015,30.57741343
8543,143483,946350,1946249,영등포구,문래동,59.93719083,30.59147486,29.34571598
8544,143486,946350,1946099,영등포구,문래동,62.25104227,32.02038534,30.23065693
8545,143489,946350,1945949,영등포구,문래동,65.87013923,36.40441103,29.4657282
8546,144114,946400,1946349,영등포구,문래동,59.11887575,29.81749806,29.30137769
8547,144115,946400,1946299,영등포구,문래동,57.43084854,27.10698086,30.32386769
8548,144119,946400,1946099,영등포구,문래동,63.30648323,31.18293309,32.12355013
8549,144121,946400,1945999,영등포구,문래동,63.3819255,32.12415492,31.25777058
8550,144748,946450,1946299,영등포구,문래동,62.49580935,33.78418541,28.71162394
8551,144753,946450,1946049,영등포구,문래동,56.63379668,28.61735325,28.01644344
8552,144754,946450,1945999,영등포구,문래동,63.2489397,32.26766653,30.98127316
8553,145381,946500,1946299,영등포구,문래동,64.99711772,33.10361766,31.89350006
